,Survived
0,1
1,1
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,1
12,0
13,0
14,1
15,1
16,1
17,1
18,0
19,1
20,0
21,0
22,0
23,0
24,0
25,1
26,1
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,1
36,1
37,0
38,1
39,0
40,0
41,0
42,1
43,0
44,1
45,0
46,0
47,0
48,1
49,0
50,1
51,1
52,0
53,0
54,0
55,0
56,1
57,0
58,1
59,0
60,1
61,1
62,0
63,0
64,1
65,0
66,0
67,0
68,1
69,0
70,0
71,0
72,0
73,1
74,1
75,1
76,0
77,0
78,0
79,1
80,0
81,1
82,0
83,0
84,1
85,0
86,0
87,1
88,0
89,0
90,1
91,1
92,0
93,0
94,1
95,1
96,1
97,1
98,0
99,0
100,0
101,0
102,0
103,1
104,0
105,0
106,0
107,0
108,1
109,1
110,0
111,1
112,0
113,1
114,0
115,0
116,1
117,0
118,0
119,0
120,0
121,0
122,1
123,0
124,1
125,1
126,1
127,1
128,1
129,0
130,0
131,0
132,1
133,0
134,1
135,0
136,1
137,0
138,0
139,1
140,0
141,0
142,1
143,0
144,0
145,0
146,1
147,0
148,1
149,0
150,0
151,0
152,1
153,0
154,1
155,1
156,0
157,1
158,1
159,0
160,0
161,1
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,1
177,1
178,1
179,1
180,0
181,0
182,1
183,1
184,0
185,0
186,0
187,0
188,0
189,1
190,0
191,0
192,0
193,0
194,1
195,1
196,1
197,1
198,0
199,0
200,0
201,0
202,1
203,0
204,1
205,0
206,0
207,0
208,1
209,1
210,1
211,1
212,1
213,1
214,0
215,0
216,1
217,1
218,1
219,0
220,1
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,1
231,0
232,0
233,1
234,1
235,0
236,0
237,0
238,0
239,0
240,1
241,1
242,1
243,0
244,1
245,1
246,0
247,0
248,0
249,0
250,0
251,1
252,0
253,1
254,0
255,0
256,0
257,1
258,0
259,1
260,1
261,0
262,1
263,1
264,1
265,1
266,0
267,0
268,0
269,1
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,1
280,1
281,1
282,0
283,0
284,0
285,0
286,1
287,0
288,1
289,1
290,1
291,1
292,0
293,0
294,1
295,0
296,0
297,0
298,1
299,0
300,1
301,1
302,0
303,0
304,1
305,1
306,0
307,1
308,1
309,0
310,1
311,1
312,0
313,0
314,1
315,0
316,1
317,0
318,0
319,0
320,1
321,0
322,0
323,1
324,0
325,0
326,1
327,0
328,0
329,0
330,0
331,1
332,0
333,0
334,0
335,1
336,0
337,1
338,0
339,0
340,0
341,0
342,0
343,1
344,0
345,0
346,0
347,1
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,1
356,1
357,0
358,0
359,0
360,1
361,0
362,0
363,1
364,0
365,0
366,0
367,0
368,1
369,1
370,1
371,1
372,1
373,1
374,0
375,0
376,1
377,0
378,0
379,1
380,1
381,1
382,1
383,0
384,0
385,0
386,1
387,0
388,1
389,1
390,1
391,0
392,0
393,1
394,0
395,1
396,0
397,0
398,1
399,0
400,0
401,0
402,1
403,0
404,1
405,0
406,1
407,1
408,0
409,0
410,0
411,0
412,0
413,1
414,0
415,1
416,0
417,1
418,0
419,0
420,1
421,0
422,0
423,1
424,1
425,0
426,1
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,1
435,0
436,0
437,0
438,0
439,1
440,0
441,0
442,1
443,0
444,0
445,0
446,1
447,0
448,0
449,1
450,0
451,0
452,1
453,1
454,0
455,1
456,0
457,1
458,0
459,1
460,1
461,1
462,1
463,0
464,0
465,0
466,1
467,0
468,1
469,0
470,0
471,1
472,1
473,0
474,0
475,0
476,1
477,1
478,0
479,0
480,0
481,1
482,1
483,1
484,1
485,0
486,1
487,0
488,0
489,1
490,0
491,1
492,1
493,0
494,0
495,0
496,1
497,1
498,0
499,1
500,1
501,1
502,0
503,1
504,0
505,0
506,0
507,0
508,0
509,0
510,1
511,1
512,1
513,0
514,0
515,1
516,1
517,1
518,1
519,0
520,0
521,1
522,0
523,0
524,1
525,0
526,1
527,1
528,1
529,0
530,1
531,0
532,0
533,0
534,0
535,1
536,1
537,1
538,0
539,1
540,0
541,0
542,1
543,0
544,1
545,0
546,0
547,0
548,0
549,0
550,0
551,0
552,1
553,0
554,0
555,1
556,1
557,1
558,0
559,0
560,0
561,0
562,0
563,0
564,0
565,1
566,0
567,0
568,0
569,0
570,0
571,1
572,0
573,1
574,1
575,0
576,1
577,0
578,1
579,0
580,0
581,0
582,0
583,1
584,0
585,1
586,0
587,1
588,1
589,0
590,0
591,0
592,1
593,1
594,0
595,1
596,0
597,1
598,1
599,0
600,0
601,1
602,0
603,1
604,1
605,1
606,1
607,1
608,0
609,0
610,0
611,1
612,1
613,0
614,1
615,0
616,0
617,0
618,0
619,1
620,0
621,0
622,0
623,1
624,0
625,1
626,1
627,0
628,0
629,0
630,1
631,0
632,0
633,0
634,1
635,0
636,1
637,1
638,1
639,0
640,0
641,0
642,0
643,1
644,0
645,0
646,0
647,0
648,0
649,0
650,0
651,0
652,0
653,0
654,0
655,0
656,0
657,0
658,0
659,1
660,0
661,0
662,1
663,0
664,1
665,1
666,1
667,0
668,0
669,0
670,1
671,0
672,0
673,0
674,0
675,0
676,0
677,1
678,0
679,0
680,1
681,0
682,1
683,0
684,1
685,0
686,1
687,0
688,0
689,1
690,1
691,0
692,1
693,0
694,0
695,0
696,0
697,0
698,0
699,1
700,0
701,0
702,0
703,1
704,0
705,0
706,0
707,0
708,0
709,0
710,1
711,0
712,1
713,0
714,1
715,0
716,0
717,0
718,1
719,0
720,0
721,0
722,0
723,0
724,0
725,1
726,0
727,1
728,1
729,1
730,0
731,1
732,0
733,1
734,0
735,0
736,0
737,1
738,1
739,0
740,0
741,0
742,0
743,1
744,0
745,0
746,1
747,0
748,1
749,0
750,0
751,1
752,1
753,0
754,1
755,1
756,1
757,0
758,0
759,1
760,1
761,1
762,1
763,1
764,0
765,1
766,0
767,0
768,1
769,1
770,0
771,1
772,0
773,1
774,1
775,1
776,0
777,0
778,0
779,0
780,0
781,0
782,0
783,0
784,0
785,0
786,1
787,0
788,1
789,0
790,1
791,1
792,1
793,1
794,1
795,0
796,1
797,0
798,0
799,1
800,1
801,1
802,0
803,0
804,0
805,0
806,0
807,1
808,1
809,0
810,1
811,0
812,0
