,Id,MSZoning,Street,OverallQual,GrLivArea,GarageCars,GarageArea,TotalBsmtSF,1stFlrSF,2ndFlrSF,FullBath,TotRmsAbvGrd,YearBuilt
0,0,RM,Pave,6,848,2,420,848,848,0,1,3,2004
1,1,RL,Pave,1,334,0,0,0,334,0,1,2,1946
2,2,RM,Pave,6,848,2,420,848,848,0,1,3,2004
3,3,RL,Pave,8,2090,2,556,1220,1220,870,2,8,1995
4,4,RM,Pave,4,988,1,297,462,526,462,1,5,1973
5,5,RL,Pave,5,1664,0,0,0,1664,0,2,8,1965
6,6,RL,Pave,5,912,1,297,912,912,0,1,5,1958
7,7,RL,Pave,7,1200,2,555,1176,1200,0,2,5,2003
8,8,RL,Pave,6,1422,2,576,1422,1422,0,2,7,1981
9,9,RL,Pave,8,3112,2,795,1360,1360,1360,2,8,1918
10,10,RL,Pave,6,2201,2,432,697,1575,626,2,8,1966
11,11,RM,Pave,7,1690,1,225,815,815,875,1,7,1916
12,12,RL,Pave,5,1188,1,312,1188,1188,0,1,6,1962
13,13,RL,Pave,5,1422,1,286,978,1422,0,1,6,1960
14,14,RM,Pave,4,951,1,327,951,951,0,1,6,1936
15,15,RL,Pave,7,1640,2,595,798,798,842,2,6,2003
16,16,RL,Pave,6,1034,3,888,1012,1034,0,1,6,1976
17,17,RL,Pave,6,1688,2,603,616,616,1072,2,8,1997
18,18,RL,Pave,5,1077,1,205,991,1077,0,1,5,1939
19,19,RL,Pave,5,1486,2,480,1486,1486,0,1,7,1964
20,20,RL,Pave,5,964,2,432,876,964,0,1,5,1921
21,21,RL,Pave,6,1493,2,508,1478,1493,0,2,7,1997
22,22,RL,Pave,5,955,1,386,955,955,0,1,6,1966
23,23,RL,Pave,7,1080,0,0,1080,1080,0,1,6,2004
24,24,RL,Pave,5,1236,1,288,912,1236,0,1,6,1961
25,25,RL,Pave,7,1145,2,397,1145,1145,0,2,5,2005
26,26,RM,Pave,6,1469,1,216,756,756,713,1,7,1906
27,27,RL,Pave,6,1608,1,216,976,1160,448,2,7,1925
28,28,FV,Pave,8,1953,3,1043,1082,1082,871,2,9,2005
29,29,RL,Pave,8,1694,2,636,1686,1694,0,2,7,2004
30,30,RL,Pave,8,1370,2,484,1370,1370,0,2,6,2006
31,31,RL,Pave,6,1251,1,461,1251,1251,0,1,6,1964
32,32,FV,Pave,7,1102,2,480,551,551,551,2,4,2004
33,33,RL,Pave,5,2634,4,968,1248,1338,1296,2,12,1969
34,34,RL,Pave,7,1472,2,588,1372,1472,0,2,6,1980
35,35,RL,Pave,5,943,2,600,943,943,0,1,4,1979
36,36,RL,Pave,5,1057,2,576,1057,1057,0,1,6,1962
37,37,RL,Pave,5,1148,1,308,980,1148,0,1,6,1952
38,38,RM,Pave,5,875,1,180,715,875,0,1,5,1931
39,39,RL,Pave,7,1428,2,554,1417,1428,0,2,6,2008
40,40,RL,Pave,9,1940,3,606,1930,1940,0,2,8,2009
41,41,RM,Pave,6,848,2,420,848,848,0,1,3,2004
42,42,FV,Pave,8,1656,3,826,1656,1656,0,2,7,2006
43,43,RL,Pave,9,1944,3,708,1896,1944,0,2,8,2003
44,44,RL,Pave,3,720,1,287,0,720,0,1,4,1949
45,45,RL,Pave,4,1294,0,0,0,694,600,2,7,1900
46,46,RL,Pave,6,1668,1,271,856,1112,556,1,6,1950
47,47,RL,Pave,6,1855,1,325,994,1216,639,2,7,1954
48,48,FV,Pave,6,1525,2,440,756,769,756,2,5,2000
49,49,RL,Pave,6,1790,2,484,732,1012,778,1,8,1972
50,50,RM,Pave,4,1154,1,240,796,796,358,1,7,1922
51,51,RL,Pave,5,1128,2,525,1120,1128,0,2,6,1963
52,52,RL,Pave,10,2392,3,968,2392,2392,0,2,8,2003
53,53,RL,Pave,9,1561,2,556,1561,1561,0,2,6,2005
54,54,RL,Pave,5,988,1,276,876,988,0,1,6,1950
55,55,RL,Pave,7,1604,2,660,1604,1604,0,2,8,2006
56,56,RL,Pave,5,1073,1,326,1073,1073,0,1,4,1921
57,57,FV,Pave,8,1939,3,1053,1095,1095,844,2,8,2006
58,58,RL,Pave,8,1616,2,608,1595,1616,0,2,5,1995
59,59,FV,Pave,7,1550,2,438,1092,1112,438,2,7,2006
60,60,RL,Pave,8,1752,2,492,559,1080,672,2,8,1988
61,61,RL,Pave,5,954,2,576,911,954,0,1,6,1976
62,62,RL,Pave,7,1726,3,786,1726,1726,0,2,8,2007
63,63,C (all),Pave,2,480,1,308,480,480,0,0,4,1949
64,64,RM,Pave,4,1208,2,539,780,848,0,1,5,1925
65,65,RL,Pave,6,1429,2,572,1144,1429,0,1,7,1960
66,66,RL,Pave,6,1348,2,453,660,660,688,1,6,1966
67,67,RL,Pave,5,1128,1,286,936,1128,0,1,5,1954
68,68,RL,Pave,7,1277,2,526,1277,1277,0,1,5,1970
69,69,RL,Pave,6,1991,2,432,854,1096,895,1,7,1932
70,70,RL,Pave,7,2035,2,434,884,884,1151,2,8,2001
71,71,RL,Pave,7,1894,2,510,817,824,1070,2,8,2002
72,72,RL,Pave,6,1756,2,422,872,888,868,2,7,1996
73,73,RM,Pave,6,1664,2,420,1004,1004,660,2,7,1947
