,SalePrice
0,149300
1,39300
2,155900
3,240000
4,91000
5,100000
6,120000
7,184900
8,175500
9,235000
10,274970
11,144000
12,157900
13,139900
14,106500
15,183000
16,169900
17,200000
18,118000
19,167000
20,163500
21,208900
22,127000
23,141000
24,135000
25,160200
26,135000
27,137450
28,252000
29,307000
30,202500
31,160000
32,148800
33,200000
34,187500
35,135960
36,132000
37,123500
38,105000
39,227680
40,395192
41,149000
42,249700
43,360000
44,72500
45,106250
46,140000
47,136900
48,177000
49,165150
50,125500
51,155000
52,386250
53,277500
54,119000
55,220000
56,108480
57,266000
58,236500
59,241000
60,164000
61,132500
62,311872
63,35311
64,103000
65,181900
66,155000
67,118000
68,167000
69,220000
70,222500
71,214900
72,204000
73,159000
74,76000
75,166000
76,625000
77,105000
78,175000
79,157000
80,214000
81,124000
82,316600
83,208500
84,193879
85,153900
86,106000
87,234000
88,184000
89,257000
90,342643
91,133000
92,145000
93,241500
94,227875
95,122000
96,149900
97,148500
98,176485
99,151000
100,278000
101,190000
102,237000
103,154000
104,107000
105,320000
106,139000
107,135000
108,119900
109,134500
110,161750
111,133700
112,190000
113,224500
114,216000
115,129000
116,243000
117,112000
118,150900
119,244400
120,133000
121,170000
122,189000
123,745000
124,186500
125,145000
126,217500
127,180500
128,201000
129,122900
130,192000
131,109900
132,179200
133,169000
134,206300
135,117500
136,222000
137,153337
138,165500
139,122000
140,118000
141,160000
142,299800
143,233230
144,145000
145,120500
146,132500
147,110500
148,235128
149,191000
150,34900
151,250000
152,139400
153,109000
154,165000
155,212900
156,144000
157,230000
158,200100
159,173000
160,160000
161,267000
162,141000
163,145000
164,293077
165,239686
166,212000
167,190000
168,303477
169,188000
170,228500
171,120000
172,113000
173,240000
174,149700
175,318061
176,126000
177,160000
178,121600
179,130000
180,239000
181,64500
182,177000
183,143000
184,84500
185,124000
186,119500
187,76500
188,128000
189,157000
190,136500
191,200000
192,190000
193,104900
194,189950
195,155000
196,177500
197,197500
198,245000
199,110000
200,116000
201,279500
202,127500
203,176500
204,284000
205,133000
206,134000
207,167240
208,153500
209,110000
210,194000
211,155000
212,259000
213,129000
214,178000
215,305900
216,223000
217,143000
218,375000
219,68500
220,236000
221,268000
222,150000
223,275500
224,337500
225,451950
226,179540
227,175000
228,212000
229,239000
230,89500
231,117500
232,184000
233,162900
234,582933
235,147000
236,116900
237,152000
238,179665
239,302000
240,211000
241,264132
242,179900
243,200624
244,242000
245,98600
246,95000
247,225000
248,204750
249,128500
250,127000
251,157000
252,224900
253,164500
254,180000
255,280000
256,185000
257,167500
258,99500
259,271900
260,140000
261,129000
262,115000
263,319900
264,215000
265,198900
266,340000
267,149000
268,255500
269,158000
270,165000
271,281000
272,187500
273,226000
274,187000
275,163000
276,145000
277,378500
278,185000
279,141000
280,224000
281,153500
282,146000
283,150000
284,125000
285,130000
286,201000
287,202500
288,190000
289,104900
290,102776
291,163900
292,187100
293,112500
294,215000
295,179900
296,149350
297,185000
298,465000
299,79500
300,60000
301,110000
302,325624
303,167500
304,112500
305,75000
306,194201
307,250000
308,155000
309,183900
310,437154
311,126500
312,126175
313,229000
314,265900
315,611657
316,174000
317,138000
318,194500
319,193000
320,155000
321,179500
322,130000
323,131000
324,219500
325,170000
326,111250
327,129000
328,106500
329,157000
330,315000
331,271000
332,143500
333,241500
334,134800
335,180000
336,130000
337,145000
338,103200
339,108959
340,139000
341,228000
342,180000
343,127500
344,88000
345,176000
346,150500
347,110000
348,215000
349,140000
350,222000
351,84000
352,174000
353,262000
354,190000
355,137000
356,81000
357,163000
358,110000
359,173000
360,394432
361,185000
362,269500
363,161000
364,280000
365,141500
366,143750
367,315000
368,61000
369,137000
370,177000
371,196000
372,169000
373,138000
374,124500
375,117000
376,271000
377,128000
378,222000
379,369900
380,317000
381,200500
382,161500
383,174000
384,135000
385,83000
386,154000
387,153000
388,165500
389,143500
390,98300
391,260000
392,118400
393,132500
394,214000
395,205000
396,266000
397,154300
398,269790
399,113000
400,210000
401,261500
402,312500
403,149900
404,173000
405,175000
406,227000
407,290000
408,100000
409,90000
410,341000
411,385000
412,129900
413,93000
414,143250
415,106000
416,290000
417,250000
418,115000
419,139600
420,191000
421,314813
422,325000
423,285000
424,171000
425,140000
426,146500
427,160000
428,82500
429,196500
430,217000
431,230000
432,237000
433,175900
434,290000
435,130000
436,229456
437,88000
438,178000
439,309000
440,213500
441,108000
442,219500
443,196000
444,335000
445,125000
446,79900
447,157000
448,238000
449,128900
450,130500
451,130000
452,200141
453,185000
454,148000
455,86000
456,275000
457,137500
458,55000
459,107500
460,148000
461,152000
462,306000
463,104000
464,137900
465,87500
466,224000
467,207500
468,115000
469,555000
470,148000
471,197000
472,100000
473,109500
474,143000
475,158900
476,165000
477,275000
478,215000
479,181000
480,129500
481,179400
482,174000
483,149900
484,180000
485,290000
486,82500
487,172500
488,155835
489,85400
490,132000
491,485000
492,175900
493,186700
494,146000
495,173000
496,381000
497,274000
498,226700
499,176000
500,128000
501,200000
502,127000
503,274300
504,159000
505,101000
506,140000
507,141000
508,185500
509,179200
510,164000
511,185900
512,124500
513,285000
514,141000
515,137500
516,143900
517,140000
518,107500
519,108500
520,98000
521,159000
522,215000
523,55000
524,149000
525,91500
526,114504
527,126000
528,99900
529,123000
530,118858
531,100000
532,217000
533,84900
534,337000
535,139000
536,187500
537,190000
538,152000
539,145000
540,280000
541,109500
542,210000
543,105000
544,178900
545,110000
546,206900
547,129500
548,213500
549,140000
550,82000
551,155000
552,156000
553,280000
554,154000
555,144000
556,164990
557,136500
558,159500
559,190000
560,91000
561,78000
562,197900
563,162000
564,181500
565,315750
566,265000
567,180000
568,235000
569,172785
570,139500
571,170000
572,143000
573,182000
574,162000
575,112000
576,216837
577,134450
578,194500
579,181000
580,153500
581,235000
582,350000
583,127500
584,205000
585,255000
586,257500
587,219210
588,174500
589,415298
590,252678
591,94500
592,266500
593,207000
594,95000
595,191000
596,186000
597,290000
598,192500
599,140000
600,169500
601,235000
602,40000
603,175000
604,142500
605,315000
606,156932
607,115000
608,260400
609,120000
610,213000
611,320000
612,275000
613,131400
614,140000
615,207500
616,179900
617,139950
618,105000
619,200000
620,119000
621,187500
622,120500
623,190000
624,156000
625,159434
626,310000
627,556581
628,289000
629,145000
630,140000
631,94750
632,139400
633,125000
634,152000
635,141000
636,319000
637,139000
638,320000
639,354000
640,265979
641,140000
642,111000
643,91300
644,128000
645,153900
646,144000
647,195400
648,135000
649,208300
650,135000
651,153000
652,129900
653,187000
654,127000
655,207500
656,151000
657,222500
658,93000
659,144000
660,248900
661,318000
662,203000
663,310000
664,156500
665,239000
666,385000
667,117000
668,325000
669,225000
670,232000
671,412500
672,177000
673,250580
674,205000
675,137500
676,466500
677,127500
678,120000
679,66500
680,251000
681,440000
682,135000
683,165500
684,359100
685,124500
686,199900
687,181000
688,137500
689,142600
690,152000
691,180500
692,123000
693,221000
694,181000
695,181000
696,156000
697,126000
698,272000
699,301500
700,106000
701,147000
702,107900
703,239900
704,188700
705,325000
706,127000
707,295000
708,172400
709,197000
710,159500
711,295493
712,178000
713,90000
714,205000
715,80500
716,130000
717,115000
718,109900
719,131000
720,110000
721,220000
722,177500
723,128500
724,127000
725,189000
726,179000
727,178000
728,125500
729,200000
730,173900
731,165400
732,207500
733,120500
734,148000
735,116000
736,262500
737,175000
738,137000
739,86000
740,311500
741,119500
742,287090
743,100000
744,179900
745,345000
746,193500
747,83000
748,119000
749,402000
750,138887
751,131000
752,230000
753,254900
754,228500
755,260000
756,132000
757,79000
758,128200
759,183200
760,255000
761,134900
762,119000
763,133000
764,129000
765,228000
766,115000
767,184000
768,142000
769,135000
770,189000
771,157500
772,161000
773,145000
774,137000
775,142000
776,168000
777,136500
778,84500
779,200000
780,225000
781,176500
782,165000
783,142500
784,130000
785,163500
786,58500
787,167000
788,176000
789,181000
790,164000
791,168000
792,186500
793,212000
794,172500
795,97500
796,335000
797,124000
798,348000
799,204900
800,194500
801,185850
802,172000
803,128500
804,372402
805,128500
806,139000
807,75500
808,244000
809,214500
810,109008
811,52000
812,147000
813,155000
814,87000
815,158000
816,135000
817,213250
818,328900
819,245350
820,118000
821,123000
822,262500
823,160000
824,250000
825,81000
826,118500
827,159000
828,410000
829,144000
830,134000
831,125500
832,175500
833,138500
834,113000
835,180000
836,154900
837,202665
838,93500
839,215000
840,147500
841,110000
842,82000
843,185000
844,135000
845,274725
846,231500
847,173000
848,166000
849,131500
850,117000
851,191000
852,187500
853,755000
854,177500
855,430000
856,171000
857,145000
858,169500
859,119000
860,122000
861,89500
862,248000
863,175000
864,196000
865,253000
866,155000
867,272000
868,239500
869,148500
870,240000
871,125000
872,145000
873,124900
874,60000
875,115000
876,98000
877,119500
878,118500
879,115000
880,201000
881,136000
882,367294
883,140000
884,89471
885,109500
886,167500
887,55993
888,162000
889,91000
890,144500
891,85000
892,132000
893,133500
894,230000
895,142500
896,115000
897,276000
898,124000
899,138000
900,132250
901,320000
902,185000
903,110500
904,139000
905,148500
906,256000
907,171500
908,174900
909,392000
910,110000
911,118964
912,169990
913,197900
914,259500
915,176000
916,144900
917,195000
918,85500
919,143000
920,287000
921,192500
922,189000
923,80000
924,158000
925,158000
926,133900
927,215000
928,160000
929,192000
930,294000
931,305000
932,171900
933,176432
934,154000
935,181000
936,164500
937,178000
938,110000
939,127000
940,258000
941,90000
942,142125
943,128950
944,278000
945,262280
946,157000
947,124000
948,171000
949,119750
950,210000
951,501837
952,148000
953,239000
954,192000
955,149900
956,200000
957,147000
958,183500
959,82000
960,144152
961,315000
962,137500
963,118500
964,198500
965,172500
966,147400
967,205950
968,170000
969,213000
970,122500
971,336000
972,250000
973,244000
974,219500
975,253293
976,110000
977,81000
978,79000
979,129000
980,159895
981,135750
982,392500
983,138800
984,112000
985,178000
986,62383
987,234000
988,185000
989,164700
990,153575
991,130500
992,136500
993,184100
994,155000
995,184750
996,438780
997,207000
998,263000
999,128000
1000,131500
1001,232600
1002,260000
1003,142000
1004,168000
1005,144500
1006,144000
1007,135000
1008,143000
1009,142953
1010,153000
1011,114500
1012,101800
1013,92000
1014,150000
1015,107500
1016,190000
1017,162000
1018,100000
1019,149500
1020,340000
1021,170000
1022,108000
1023,185000
1024,204000
1025,147000
1026,395000
1027,174000
1028,171000
1029,140200
1030,145900
1031,131500
1032,132000
1033,114500
1034,147000
1035,178400
1036,125000
1037,143000
1038,151000
1039,132500
1040,180000
1041,112000
1042,180500
1043,225000
1044,193000
1045,145000
1046,178000
1047,123600
1048,377426
1049,85000
1050,92900
1051,223500
1052,160000
1053,228950
1054,129000
1055,84500
1056,192000
1057,315500
1058,142000
1059,233000
1060,107400
1061,135900
1062,129000
1063,156000
1064,313000
1065,139000
1066,189000
1067,123000
1068,175000
1069,96500
1070,68400
1071,383970
1072,127000
1073,129500
1074,122000
1075,173000
1076,169000
1077,137500
1078,143000
1079,192000
1080,167000
1081,133900
1082,120000
1083,235000
1084,268000
1085,170000
1086,377500
1087,173500
1088,135000
1089,125000
1090,230000
1091,193500
1092,160000
1093,163990
1094,151000
1095,325000
1096,155000
1097,151000
1098,107000
1099,143000
1100,91500
1101,97000
1102,159500
1103,170000
1104,205000
1105,133000
1106,124900
1107,264561
1108,199900
1109,149000
1110,136500
1111,136000
1112,121000
1113,150000
1114,37900
1115,134432
1116,188000
1117,190000
1118,102000
1119,216500
1120,180000
1121,130250
1122,194700
1123,52500
1124,224900
1125,232000
1126,239799
1127,270000
1128,168000
1129,187000
1130,192140
1131,182900
1132,129900
1133,244600
1134,96500
1135,206000
1136,127000
1137,168500
1138,158500
1139,176000
1140,370878
1141,105500
1142,165000
1143,130000
1144,144000
1145,147000
1146,361919
1147,109500
1148,145250
1149,260000
1150,227000
1151,215200
1152,125000
1153,255900
1154,200500
1155,112000
1156,345000
1157,211000
1158,155000
1159,221500
1160,270000
1161,107000
1162,197000
1163,132500
1164,112000
1165,374000
1166,236000
1167,154000
